fourcc	container or leaf	box or fullbox	description	spec
samr	cont	box	AMR Sample Entry	3GPP
sawb	cont	box	AMR Sample Entry	3GPP
sawp	cont	box	AMRWP Sample Entry	3GPP
sbgp	leaf	fullbox	Sample to group	ISO
scen	cont	?	Scene	Apple
schi	cont	box	Scheme Information Box	ISO
schm	cont	fullbox	Scheme Type Box	ISO
sdep	cont	?	Sample dependency	NALu Video
sdhd	cont	?	Reserved for SceneDescriptionStream header	MP4v1
sdp 	leaf	box	RTP track SDP hint information	?
sdtp	leaf	fullbox	Independent and Disposable Samples Box	ISO
sdvp	cont	?	SD Profile Box	SDV
segr	cont	box	File delivery session group	ISO
senc	cont	?	Sample encryption data	ISO Common Encryption
sgpd	leaf	fullbox	Sample group definition	ISO
shot	cont	?	Shot	Apple
sidx	cont	fullbox	Segment Index Box	3GPP
sinf	cont	box	Protection scheme information	ISO
skip	leaf	box	Free space	ISO
slno	cont	?	Serial number	Apple
smhd	leaf	fullbox	Sound media header	ISO
smrd	leaf	?	User-data XXX	Samsung
smta	leaf	?	User-data XXX	Samsung
spdb	cont	box	Service Protection Description	3GPP # version but no flags?
srat	cont	fullbox	Sampling Rate Box	ISO
srmb	cont	?	System Renewability Message	DVB
srmc	cont	?	System Renewability Message container	DVB
srpp	cont	fullbox	SRTP Process Box	ISO
ssix	cont	fullbox	Sub-sample index	ISO
stbl	cont	box	Sample table	ISO
stco	leaf	fullbox	Sample table chunk offset 	ISO
stdp	cont	fullbox	Sample degradation priority	ISO
ster	leaf	?	?	?
sthd	cont	fullbox	Subtitle Media Header Box	ISO
stps	leaf	?	PartialSyncSamples	quicktime
strd	cont	box	Sub-track definition	ISO
stri	cont	fullbox	Sub-track information	ISO
strk	cont	box	Sub track	ISO
stsc	leaf	fullbox	Sample table sample-to-chunk	ISO
stsd	leaf	fullbox	Sample Description Box	ISO
stsg	leaf	fullbox	Sub-track sample grouping	ISO
stsh	leaf	fullbox	Sample table shadow sync	ISO
stss	leaf	fullbox	Sample table sync	ISO
stsz	leaf	fullbox	Sample table sizes	ISO
stts	leaf	fullbox	Sample table time-to-sample	ISO
styp	leaf	box	Segment type	3GPP
stz2	cont	fullbox	compact sample sizes (framing)	ISO
subs	leaf	fullbox	Sub-sample information	ISO
swtc	cont	?	Multiview Group Relation	NALu Video
sync	leaf	?	Synchronization	QT
tapt	cont	box	Track aperture mode dimensions	QuickTime
text	leaf	?	Text media information header	QT
tfad	cont	?	Track fragment adjustment box	3GPP
tfdt	cont	fullbox	Track fragment decode time	ISO
tfhd	cont	fullbox	Track fragment header	ISO
tfma	cont	?	Track fragment media adjustment box	3GPP
tfra	cont	fullbox	Track fragment random access	ISO
thmb	leaf	fullbox	Thumbnail	3GPP
tibr	cont	?	Tier Bit rate	NALu Video
tiri	cont	?	Tier Information	NALu Video
titl	leaf	fullbox	Title	3GPP
